 R[m]   Z[m]   NE[10^18/m3]  Error[10^18/m3] 
  1.797000  0.000000 54.432582  8.405582 
  1.827000  0.000000 46.822745  6.540914 
  1.855000  0.000000 50.177812  5.386482 
  1.887000  0.000000 56.050818  6.734438 
  1.916000  0.000000 44.399544  6.251001 
  1.948000  0.000000 59.689330  8.694286 
  1.976000  0.000000 52.566611  7.609723 
  2.007000  0.000000 50.610923  7.698751 
  2.038000  0.000000 40.130652  5.296538 
  2.068000  0.000000 50.228587  6.521398 
  2.099000  0.000000 45.674235  6.334203 
  2.129000  0.000000 21.137487  3.060950 
  2.158000  0.000000 40.964587  4.960682 
  2.169000  0.000000 40.770088  7.294844 
  2.179000  0.000000 23.656169  2.108995 
  2.188000  0.000000 35.200785 14.920452 
  2.199000  0.000000 19.457283 15.990855 
  2.208000  0.000000 20.930565  8.541073 
  2.220000  0.000000 22.172028  2.110585 
  2.229000  0.000000 19.956772  2.292991 
  2.240000  0.000000  9.103108  4.207742 
  2.248000  0.000000  2.811849  0.984845 
  2.259000  0.000000  1.241384  0.321983 
  2.278000  0.000000  2.241423  3.940250 
  1.797000  0.000000 49.592969  7.658240 
  1.827000  0.000000 46.432567  6.486408 
  1.855000  0.000000 50.600706  5.431879 
  1.887000  0.000000 56.260499  6.759631 
  1.916000  0.000000 44.640754  6.284961 
  1.948000  0.000000 60.477330  8.809065 
  1.976000  0.000000 53.186674  7.699485 
  2.007000  0.000000 51.075511  7.769423 
  2.038000  0.000000 40.789897  5.383547 
  2.068000  0.000000 50.571424  6.565910 
  2.099000  0.000000 45.523677  6.313323 
  2.129000  0.000000 21.225640  3.073716 
  2.158000  0.000000 39.726936  4.810807 
  2.169000  0.000000 39.978925  7.035875 
  2.179000  0.000000 23.684523  2.105158 
  2.188000  0.000000 35.262153 14.837479 
  2.199000  0.000000 19.463095 16.228997 
  2.208000  0.000000 20.846870  8.505016 
  2.220000  0.000000 21.984965  2.093125 
  2.229000  0.000000 19.694447  2.256537 
  2.240000  0.000000  9.752132  4.534045 
  2.248000  0.000000  5.995227  0.150283 
  2.259000  0.000000  2.222768  2.267313 
  2.278000  0.000000  2.735835  5.279681 
  1.797000  0.000000 49.916109  7.708140 
  1.827000  0.000000 46.535170  6.500741 
  1.855000  0.000000 51.071326  5.482399 
  1.887000  0.000000 56.542846  6.793554 
  1.916000  0.000000 45.236514  6.368838 
  1.948000  0.000000 60.999838  8.885173 
  1.976000  0.000000 53.585892  7.757278 
  2.007000  0.000000 51.372265  7.814564 
  2.038000  0.000000 41.326445  5.454362 
  2.068000  0.000000 50.382054  6.541323 
  2.099000  0.000000 45.737345  6.342955 
  2.129000  0.000000 22.065479  3.195334 
  2.158000  0.000000 37.354571  4.523521 
  2.169000  0.000000 39.133182  6.864543 
  2.179000  0.000000 23.695209  2.196915 
  2.188000  0.000000 35.233008 14.813459 
  2.199000  0.000000 20.223495 16.653582 
  2.208000  0.000000 21.049732  8.592910 
  2.220000  0.000000 22.098981  2.106316 
  2.229000  0.000000 19.756594  2.260889 
  2.240000  0.000000 10.483506  4.907175 
  2.248000  0.000000  6.557654  0.173899 
  2.259000  0.000000  1.159174  0.277320 
  2.278000  0.000000  2.365312  3.903277 
  1.797000  0.000000 52.541906  8.113620 
  1.827000  0.000000 46.923228  6.554951 
  1.855000  0.000000 51.646114  5.544101 
  1.887000  0.000000 57.568254  6.916756 
  1.916000  0.000000 45.602418  6.420354 
  1.948000  0.000000 61.775980  8.998225 
  1.976000  0.000000 54.816833  7.935473 
  2.007000  0.000000 52.024928  7.913845 
  2.038000  0.000000 41.244568  5.443556 
  2.068000  0.000000 50.906162  6.609371 
  2.099000  0.000000 46.166885  6.402525 
  2.129000  0.000000 22.718235  3.289861 
  2.158000  0.000000 36.987149  4.479027 
  2.169000  0.000000 37.494744  6.295847 
  2.179000  0.000000 24.032001  2.237959 
  2.188000  0.000000 34.874942 14.652371 
  2.199000  0.000000 20.938405 17.224216 
  2.208000  0.000000 20.844481  8.507458 
  2.220000  0.000000 22.446128  2.144873 
  2.229000  0.000000 19.853731  2.271911 
  2.240000  0.000000 11.343889  5.328384 
  2.248000  0.000000  6.045554  0.046720 
  2.259000  0.000000  1.027537  0.265348 
  2.278000  0.000000  2.306658  4.390840 
  1.797000  0.000000 52.073323  8.041261 
  1.827000  0.000000 47.832929  6.682032 
  1.855000  0.000000 52.493130  5.635027 
  1.887000  0.000000 58.906513  7.077546 
  1.916000  0.000000 46.195468  6.503849 
  1.948000  0.000000 62.373499  9.085259 
  1.976000  0.000000 55.536145  8.039603 
  2.007000  0.000000 53.106691  8.078399 
  2.038000  0.000000 41.350250  5.457504 
  2.068000  0.000000 52.736735  6.847042 
  2.099000  0.000000 47.163949  6.540800 
  2.129000  0.000000 23.211443  3.361283 
  2.158000  0.000000 37.316762  4.518942 
  2.169000  0.000000 36.695586  6.202709 
  2.179000  0.000000 24.526988  2.320580 
  2.188000  0.000000 35.674793 15.077038 
  2.199000  0.000000 21.743606 17.758907 
  2.208000  0.000000 21.946533  8.975099 
  2.220000  0.000000 22.906168  2.192834 
  2.229000  0.000000 20.721781  2.372986 
  2.240000  0.000000 12.472038  5.903017 
  2.248000  0.000000  5.280338  0.189212 
  2.259000  0.000000  1.149517  0.311658 
  2.278000  0.000000  1.016505  0.520273 
  1.797000  0.000000 55.600112  8.585874 
  1.827000  0.000000 48.459937  6.769622 
  1.855000  0.000000 53.004250  5.689894 
  1.887000  0.000000 59.594497  7.160206 
  1.916000  0.000000 46.320566  6.521462 
  1.948000  0.000000 62.459937  9.097850 
  1.976000  0.000000 56.436378  8.169924 
  2.007000  0.000000 53.581910  8.150687 
  2.038000  0.000000 40.930196  5.402064 
  2.068000  0.000000 52.109631  6.765622 
  2.099000  0.000000 47.370582  6.569456 
  2.129000  0.000000 23.375027  3.384972 
  2.158000  0.000000 38.572286  4.670982 
  2.169000  0.000000 35.247632  5.740863 
  2.179000  0.000000 24.115220  2.683296 
  2.188000  0.000000 35.594173 14.964081 
  2.199000  0.000000 22.150224 17.975413 
  2.208000  0.000000 21.923688  8.965944 
  2.220000  0.000000 22.709768  2.171749 
  2.229000  0.000000 20.072241  2.290877 
  2.240000  0.000000 12.517096  5.902867 
  2.248000  0.000000  4.359141  0.090377 
  2.259000  0.000000  1.031807  0.274144 
  2.278000  0.000000  0.910574  0.466055 
